Starting a new procedure
Running matching
Total codeterms to match = 168
Starting to write
Total example blocks to match = 82
Starting to write
PoolingHttpClientConnectionManager(), METHOD, 997, 13, 2.3.3 Pooling connection manager, org.apache.http.impl.conn.PoolingHttpClientConnectionManager.PoolingHttpClientConnectionManager(), @CONSTRUCTOR LOCAL_CONTROLLER
credsProvider.setCredentials(), METHOD, 1880, 9, 4.6 Preemptive authentication, org.apache.http.auth.AuthState.setCredentials(), @

credsProvider.setCredentials(), METHOD, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.impl.client.BasicCredentialsProvider.setCredentials(), @

metrics.getRequestAverageDuration(), METHOD, 2665, 13, , org.apache.http.impl.client.FutureRequestExecutionMetrics.getRequestAverageDuration(), @PROPERTY

setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @

setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @

setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @

setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @

httpClient.execute(), UNIDENTIFIED-TYPE, 1073, 9, 2.4 Multithreaded request execution, org.apache.http.client.HttpClient.execute(), @

ConnectionSocketFactory, CLASS/INTERFACE, 1248, 13, 2.7.2 Integration with connection manager, org.apache.http.conn.socket.ConnectionSocketFactory, @INTERFACE

FutureRequestExecutionService, CLASS/INTERFACE, 2594, 13, 7.3.1 Creating the FutureRequestExecutionService, org.apache.http.impl.client.FutureRequestExecutionService, @

Executor, CLASS/INTERFACE, 2163, 5, 5.1 Easy to use facade API, org.apache.http.client.fluent.Executor, @BOUNDARY COMMANDER

sf.createSocket(), METHOD, 1222, 9, 2.7 Connection socket factories, org.apache.http.conn.socket.ConnectionSocketFactory.createSocket(), @

CloseableHttpClient, CLASS/INTERFACE, 15, 9, 1.1 Request execution, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 327, 13, 1.1.6 Consuming entity content, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 433, 13, 1.1.8 Response handlers, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 477, 9, 1.2 HttpClient interface, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 510, 13, 1.2.2 HttpClient resource deallocation, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 602, 9, 1.3 HTTP execution context, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 754, 13, 1.5.4 Request retry handler, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 824, 9, 1.7 Redirect handling, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 838, 9, 1.7 Redirect handling, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 997, 13, 2.3.3 Pooling connection manager, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 1018, 13, 2.3.4 Connection manager shutdown, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 1037, 9, 2.4 Multithreaded request execution, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 1073, 9, 2.4 Multithreaded request execution, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 1176, 9, 2.6 Connection keep alive strategy, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 1351, 9, 2.8 HttpClient proxy configuration, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 1360, 9, 2.8 HttpClient proxy configuration, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 1370, 9, 2.8 HttpClient proxy configuration, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 1521, 9, 3.3 Choosing cookie policy, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 1543, 9, 3.4 Custom cookie policy, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 1574, 9, 3.5 Cookie persistence, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 1880, 9, 4.6 Preemptive authentication, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 2328, 5, 6.3 Example Usage, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 2483, 17, 7.1 Custom client connections, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 2517, 13, 7.2.1 User token handler, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 2531, 13, 7.2.1 User token handler, org.apache.http.impl.client.CloseableHttpClient, @

CloseableHttpClient, CLASS/INTERFACE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.impl.client.CloseableHttpClient, @

cookie.setDomain(), METHOD, 1430, 9,  3.1 HTTP cookies, org.apache.http.impl.cookie.BasicClientCookie.setDomain(), @

cookie.setDomain(), METHOD, 1574, 9, 3.5 Cookie persistence, org.apache.http.impl.cookie.BasicClientCookie.setDomain(), @

sf.connectSocket(), METHOD, 1222, 9, 2.7 Connection socket factories, org.apache.http.conn.socket.ConnectionSocketFactory.connectSocket(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 15, 9, 1.1 Request execution, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 327, 13, 1.1.6 Consuming entity content, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 838, 9, 1.7 Redirect handling, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1880, 9, 4.6 Preemptive authentication, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2517, 13, 7.2.1 User token handler, org.apache.http.impl.client.CloseableHttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.impl.client.CloseableHttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.impl.client.CloseableHttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 15, 9, 1.1 Request execution, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 327, 13, 1.1.6 Consuming entity content, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 838, 9, 1.7 Redirect handling, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1880, 9, 4.6 Preemptive authentication, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2517, 13, 7.2.1 User token handler, org.apache.http.impl.client.CloseableHttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.impl.client.CloseableHttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.impl.client.CloseableHttpClient.execute(), @

HttpResponse, CLASS/INTERFACE, 70, 13, 1.1.2 HTTP response, org.apache.http.client.methods.CloseableHttpResponse, @

HttpResponse, CLASS/INTERFACE, 92, 13, 1.1.3 Working with message headers, org.apache.http.client.methods.CloseableHttpResponse, @

HttpResponse, CLASS/INTERFACE, 114, 13, 1.1.3 Working with message headers, org.apache.http.client.methods.CloseableHttpResponse, @

HttpResponse, CLASS/INTERFACE, 135, 13, 1.1.3 Working with message headers, org.apache.http.client.methods.CloseableHttpResponse, @

HttpResponse, CLASS/INTERFACE, 433, 13, 1.1.8 Response handlers, org.apache.http.client.methods.CloseableHttpResponse, @

HttpResponse, CLASS/INTERFACE, 477, 9, 1.2 HttpClient interface, org.apache.http.client.methods.CloseableHttpResponse, @

HttpResponse, CLASS/INTERFACE, 587, 9, 1.3 HTTP execution context, org.apache.http.client.methods.CloseableHttpResponse, @

HttpResponse, CLASS/INTERFACE, 2185, 7, 5.1.1 Response handling, org.apache.http.HttpResponse, @

HttpResponse, CLASS/INTERFACE, 2607, 13, 7.3.2 Scheduling requests, org.apache.http.client.methods.CloseableHttpResponse, @

HttpGet(), METHOD, 15, 9, 1.1 Request execution, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 40, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 327, 13, 1.1.6 Consuming entity content, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 433, 13, 1.1.8 Response handlers, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 602, 9, 1.3 HTTP execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 602, 9, 1.3 HTTP execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 838, 9, 1.7 Redirect handling, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1037, 9, 2.4 Multithreaded request execution, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1521, 9, 3.3 Choosing cookie policy, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1880, 9, 4.6 Preemptive authentication, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2328, 5, 6.3 Example Usage, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2517, 13, 7.2.1 User token handler, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2607, 13, 7.3.2 Scheduling requests, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2634, 17, 7.3.4 Callbacks, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

context.getTargetAuthState(), METHOD, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.protocol.HttpClientContext.getTargetAuthState(), @

Executor.newInstance(), METHOD, 2163, 5, 5.1 Easy to use facade API, org.apache.http.client.fluent.Executor.newInstance(), @FACTORY

PoolingHttpClientConnectionManager, CLASS/INTERFACE, 997, 13, 2.3.3 Pooling connection manager, org.apache.http.impl.conn.PoolingHttpClientConnectionManager, @

PoolingHttpClientConnectionManager, CLASS/INTERFACE, 1037, 9, 2.4 Multithreaded request execution, org.apache.http.impl.conn.PoolingHttpClientConnectionManager, @

PoolingHttpClientConnectionManager, CLASS/INTERFACE, 2483, 17, 7.1 Custom client connections, org.apache.http.impl.conn.PoolingHttpClientConnectionManager, @

PoolingHttpClientConnectionManager(), METHOD, 997, 13, 2.3.3 Pooling connection manager, org.apache.http.impl.conn.PoolingHttpClientConnectionManager.PoolingHttpClientConnectionManager(), @CONSTRUCTOR LOCAL_CONTROLLER

PoolingHttpClientConnectionManager(), METHOD, 1037, 9, 2.4 Multithreaded request execution, org.apache.http.impl.conn.PoolingHttpClientConnectionManager.PoolingHttpClientConnectionManager(), @CONSTRUCTOR LOCAL_CONTROLLER

PoolingHttpClientConnectionManager(), METHOD, 1248, 13, 2.7.2 Integration with connection manager, org.apache.http.impl.conn.PoolingHttpClientConnectionManager.PoolingHttpClientConnectionManager(), @CONSTRUCTOR LOCAL_CONTROLLER

PoolingHttpClientConnectionManager(), METHOD, 2483, 17, 7.1 Custom client connections, org.apache.http.impl.conn.PoolingHttpClientConnectionManager.PoolingHttpClientConnectionManager(), @CONSTRUCTOR LOCAL_CONTROLLER

FutureCallback, CLASS/INTERFACE, 2634, 17, 7.3.4 Callbacks, org.apache.http.concurrent.FutureCallback, @

httpclient.execute(), UNIDENTIFIED-TYPE, 15, 9, 1.1 Request execution, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 327, 13, 1.1.6 Consuming entity content, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 602, 9, 1.3 HTTP execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 838, 9, 1.7 Redirect handling, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1880, 9, 4.6 Preemptive authentication, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2517, 13, 7.2.1 User token handler, org.apache.http.impl.client.CloseableHttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.impl.client.CloseableHttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.impl.client.CloseableHttpClient.execute(), @

HttpClientContext.create(), METHOD, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.client.protocol.HttpClientContext.create(), @

HttpClientContext.create(), METHOD, 838, 9, 1.7 Redirect handling, org.apache.http.client.protocol.HttpClientContext.create(), @

HttpClientContext.create(), METHOD, 942, 13, 2.3.1 Managed connections and connection managers, org.apache.http.client.protocol.HttpClientContext.create(), @

HttpClientContext.create(), METHOD, 1073, 9, 2.4 Multithreaded request execution, org.apache.http.client.protocol.HttpClientContext.create(), @

HttpClientContext.create(), METHOD, 1222, 9, 2.7 Connection socket factories, org.apache.http.client.protocol.HttpClientContext.create(), @

HttpClientContext.create(), METHOD, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.client.protocol.HttpClientContext.create(), @

HttpClientContext.create(), METHOD, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.protocol.HttpClientContext.create(), @

HttpClientContext.create(), METHOD, 1880, 9, 4.6 Preemptive authentication, org.apache.http.client.protocol.HttpClientContext.create(), @

HttpClientContext.create(), METHOD, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.protocol.HttpClientContext.create(), @

HttpClientContext.create(), METHOD, 2517, 13, 7.2.1 User token handler, org.apache.http.client.protocol.HttpClientContext.create(), @

HttpClientContext.create(), METHOD, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.protocol.HttpClientContext.create(), @

HttpClientContext.create(), METHOD, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.protocol.HttpClientContext.create(), @

HttpClientContext.create(), METHOD, 2607, 13, 7.3.2 Scheduling requests, org.apache.http.client.protocol.HttpClientContext.create(), @

HttpClientContext.create(), METHOD, 2634, 17, 7.3.4 Callbacks, org.apache.http.client.protocol.HttpClientContext.create(), @

LayeredConnectionSocketFactory, CLASS/INTERFACE, 1248, 13, 2.7.2 Integration with connection manager, org.apache.http.conn.socket.LayeredConnectionSocketFactory, @INTERFACE

futureRequestExecutionService.execute(), UNIDENTIFIED-TYPE, 2607, 13, 7.3.2 Scheduling requests, org.apache.http.impl.client.FutureRequestExecutionService.execute(), @

futureRequestExecutionService.execute(), UNIDENTIFIED-TYPE, 2634, 17, 7.3.4 Callbacks, org.apache.http.impl.client.FutureRequestExecutionService.execute(), @

metrics.getScheduledConnectionCount(), METHOD, 2665, 13, , org.apache.http.impl.client.FutureRequestExecutionMetrics.getScheduledConnectionCount(), @PROPERTY

connMrg.requestConnection(), METHOD, 942, 13, 2.3.1 Managed connections and connection managers, org.apache.http.impl.conn.PoolingHttpClientConnectionManager.requestConnection(), @

futureRequestExecutionService.metrics(), UNIDENTIFIED-TYPE, 2665, 13, , org.apache.http.impl.client.FutureRequestExecutionService.metrics(), @

NTCredentials, CLASS/INTERFACE, 1670, 9, 4.1 User credentials, org.apache.http.auth.NTCredentials, @DATA_PROVIDER

setPath(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setPath(), @

DefaultHostnameVerifier, CLASS/INTERFACE, 1332, 13, 2.7.4 Hostname verification, org.apache.http.conn.ssl.DefaultHostnameVerifier, @BOUNDARY COMMANDER

DefaultHostnameVerifier, CLASS/INTERFACE, 1340, 13, 2.7.4 Hostname verification, org.apache.http.conn.ssl.DefaultHostnameVerifier, @BOUNDARY COMMANDER

HttpGet(), METHOD, 15, 9, 1.1 Request execution, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 40, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 327, 13, 1.1.6 Consuming entity content, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 433, 13, 1.1.8 Response handlers, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 602, 9, 1.3 HTTP execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 602, 9, 1.3 HTTP execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 649, 5, 1.4 HTTP protocol interceptors, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 838, 9, 1.7 Redirect handling, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1037, 9, 2.4 Multithreaded request execution, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1521, 9, 3.3 Choosing cookie policy, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1621, 9, 3.6 HTTP state management and execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1880, 9, 4.6 Preemptive authentication, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 1946, 13, 4.7.1 NTLM connection persistence, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2328, 5, 6.3 Example Usage, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2517, 13, 7.2.1 User token handler, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2551, 13, 7.2.2 Persistent stateful connections, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2607, 13, 7.3.2 Scheduling requests, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

HttpGet(), METHOD, 2634, 17, 7.3.4 Callbacks, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR

context.setAuthSchemeRegistry(), METHOD, 1837, 9, 4.4 HTTP authentication and execution context, org.apache.http.client.protocol.HttpClientContext.setAuthSchemeRegistry(), @

HttpClientConnectionManager, CLASS/INTERFACE, 942, 13, 2.3.1 Managed connections and connection managers, org.apache.http.impl.conn.PoolingHttpClientConnectionManager, @INTERFACE

HttpClientConnectionManager, CLASS/INTERFACE, 1125, 9, 2.5 Connection eviction policy, org.apache.http.impl.conn.PoolingHttpClientConnectionManager, @INTERFACE

HttpClientConnectionManager, CLASS/INTERFACE, 1248, 13, 2.7.2 Integration with connection manager, org.apache.http.impl.conn.PoolingHttpClientConnectionManager, @INTERFACE

SystemDefaultRoutePlanner, CLASS/INTERFACE, 1360, 9, 2.8 HttpClient proxy configuration, org.apache.http.impl.conn.SystemDefaultRoutePlanner, @BOUNDARY

cookie.setPath(), METHOD, 1430, 9,  3.1 HTTP cookies, org.apache.http.impl.cookie.BasicClientCookie.setPath(), @

cookie.setPath(), METHOD, 1574, 9, 3.5 Cookie persistence, org.apache.http.impl.cookie.BasicClientCookie.setPath(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 15, 9, 1.1 Request execution, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.HttpClient.execute(), @

httpclient.execute(), UNIDENTIFIED-TYPE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.HttpClient.execute(), @

